location,week,first_dose,second_dose,vaccine,white_prop,black_prop,asian_prop,hispanic_prop,population,white,black,asian,hispanic
South Dakota,2020-04-05,9.433483923290392,0,janssen,0.819,0.022,0.013,0.037,884659,13.493286343875281,9.876244713380528,9.350151617483748,10.396120172666436
Utah,2020-04-05,10.613983371430686,0,janssen,0.778,0.01,0.023,0.144,3205958,14.729492756825397,10.375351325641052,11.208260448576155,13.042579532223007
Wyoming,2020-04-05,9.047821442478408,0,janssen,0.838,0.01,0.006,0.101,578759,13.091904256517555,8.663471249029516,8.152645625263526,10.976006672876732
Arizona,2020-04-05,11.52978258203665,0,janssen,0.542,0.043,0.033,0.318,7278717,15.187975890835206,12.653910005089122,12.389217450862041,14.654761272175737
California,2020-04-05,13.258117298381949,0,janssen,0.364,0.053,0.147,0.395,39512223,16.481519213696306,14.554657259611687,15.574797932838301,16.56325111096069
Hawaii,2020-04-05,9.966462351697517,0,janssen,0.204,0.012,0.394,0.103,1415872,12.573620868531737,9.740407524475522,13.231851783985455,11.890229862917158
Nevada,2020-04-05,10.666627104916108,0,janssen,0.478,0.092,0.085,0.293,3080156,14.20234625652709,12.554524101084676,12.475386780525952,13.712908133052702
Alaska,2020-04-05,9.667765219015058,0,janssen,0.6,0.022,0.06,0.07,731545,12.992088391214144,9.686201189356314,10.6895032982201,10.843653978047357
Idaho,2020-04-05,10.077440859659566,0,janssen,0.816,0.007,0.012,0.129,1787065,14.19274424327288,9.434240037364086,9.973236538096774,12.348142292670445
Oregon,2020-04-05,11.025165114135234,0,janssen,0.75,0.018,0.047,0.134,4217737,14.96712721379961,11.237425765165419,12.197201608979313,13.244893807220166
Washington,2020-04-05,11.59910316121128,0,janssen,0.675,0.038,0.089,0.13,7614893,15.452573904888364,12.575447373742222,13.426497583747976,13.805395664471417
Connecticut,2020-03-29,9.961756460660103,0,janssen,0.657,0.1,0.046,0.169,3565287,14.666683853001496,12.784170020504977,12.00764123100598,13.30889854943996
Maine,2020-03-29,8.99961934066053,0,janssen,0.932,0.014,0.011,0.017,1344212,14.04089606142458,9.842620576354246,9.601458519537358,10.036776590795204
Massachusetts,2020-03-29,10.616437360392252,0,janssen,0.705,0.07,0.067,0.124,6892503,15.39638738096584,13.08668482020293,13.042882197544536,13.658471143758607
New Hampshire,2020-03-29,8.99961934066053,0,janssen,0.898,0.013,0.026,0.039,1359711,14.015197524450974,9.779976813610311,10.473123994170255,10.87858910227842
Rhode Island,2020-03-29,8.764053269347762,0,janssen,0.705,0.059,0.033,0.166,1059361,13.523618977954527,11.042958619047978,10.461928736608739,12.077408963498803
Vermont,2020-03-29,8.268731832117737,0,janssen,0.928,0.011,0.016,0.018,623989,13.269164472795122,8.834028012807291,9.208721462248702,9.326504497905086
New Jersey,2020-03-29,10.85321306049652,0,janssen,0.545,0.124,0.096,0.21,8882190,15.392589221864968,13.912084992806761,13.656151618669561,14.438910957919193
New York,2020-03-29,11.094375117313408,0,janssen,0.552,0.14,0.086,0.193,19453561,16.18933346339861,14.817427839730819,14.330132713375022,15.1384756060264
Delaware,2020-03-29,8.630521876723241,0,janssen,0.614,0.218,0.039,0.097,973764,13.301163902635679,12.265664037277626,10.544730620618182,11.45587995299192
District of Columbia,2020-03-29,8.366370301681654,0,janssen,0.367,0.45,0.037,0.112,705749,12.464621498254823,12.668507232964618,10.170177562844477,11.277758521495349
Maryland,2020-03-29,10.460242108190519,0,janssen,0.499,0.296,0.064,0.106,6045680,14.919705342134801,14.397458700707343,12.865982329742954,13.370538340495349
Pennsylvania,2020-03-29,11.103452335464524,0,janssen,0.76,0.104,0.035,0.078,12801989,16.090674261741214,14.101746727602208,13.01270388995025,13.814064655150428
Virginia,2020-03-29,10.799575577092764,0,janssen,0.613,0.189,0.067,0.096,8535519,15.470356377751846,14.293738456875278,13.256684061206602,13.616339633283472
