jurisdiction,week,first_dose,second_dose,vaccine
American Samoa,03/08/2021,0,0,moderna
Guam,03/08/2021,0,0,moderna
Marshall Islands,03/08/2021,0,0,moderna
Micronesia,03/08/2021,0,0,moderna
Mariana Islands,03/08/2021,0,0,moderna
Palau,03/08/2021,0,0,moderna
Alaska,03/08/2021,0,0,moderna
Idaho,03/08/2021,15800,15800,moderna
Oregon,03/08/2021,40800,40800,moderna
Washington,03/08/2021,72400,72400,moderna
Federal Entities,03/08/2021,197900,193500,moderna
Alabama,03/01/2021,47700,47700,moderna
Alaska,03/01/2021,49300,49300,moderna
American Samoa,03/01/2021,4400,0,moderna
Arizona,03/01/2021,67600,67600,moderna
Arkansas,03/01/2021,28900,28900,moderna
California,03/01/2021,380300,380300,moderna
Chicago,03/01/2021,26500,26500,moderna
Colorado,03/01/2021,54100,54100,moderna
Connecticut,03/01/2021,35800,35800,moderna
Delaware,03/01/2021,9500,9500,moderna
District of Columbia,03/01/2021,7200,7200,moderna
Federal Entities,03/01/2021,180500,163500,moderna
Florida,03/01/2021,208000,208000,moderna
Georgia,03/01/2021,98600,98600,moderna
Guam,03/01/2021,14200,0,moderna
Hawaii,03/01/2021,14200,14200,moderna
Idaho,03/01/2021,15800,15800,moderna
Illinois,03/01/2021,98700,98700,moderna
Indiana,03/01/2021,64100,64100,moderna
Iowa,03/01/2021,30400,30400,moderna
Kansas,03/01/2021,27800,27800,moderna
Kentucky,03/01/2021,43400,43400,moderna
Louisiana,03/01/2021,45000,45000,moderna
Maine,03/01/2021,13700,13700,moderna
Mariana Islands,03/01/2021,4600,0,moderna
Marshall Islands,03/01/2021,14000,0,moderna
Maryland,03/01/2021,59000,59000,moderna
Massachusetts,03/01/2021,69000,69000,moderna
Michigan,03/01/2021,98200,98200,moderna
Micronesia,03/01/2021,16600,0,moderna
Minnesota,03/01/2021,53800,53800,moderna
Mississippi,03/01/2021,28700,28700,moderna
Missouri,03/01/2021,59500,59500,moderna
Montana,03/01/2021,10400,10400,moderna
Nebraska,03/01/2021,18400,18400,moderna
Nevada,03/01/2021,28500,28500,moderna
New Hampshire,03/01/2021,13700,13700,moderna
New Jersey,03/01/2021,87400,87400,moderna
New Mexico,03/01/2021,20500,20500,moderna
New York,03/01/2021,111300,111300,moderna
New York City,03/01/2021,84500,84500,moderna
North Carolina,03/01/2021,99500,99500,moderna
North Dakota,03/01/2021,7500,7500,moderna
Ohio,03/01/2021,114100,114100,moderna
Oklahoma,03/01/2021,37500,37500,moderna
Oregon,03/01/2021,40800,40800,moderna
Palau,03/01/2021,5400,0,moderna
Pennsylvania,03/01/2021,112400,112400,moderna
Philadelphia,03/01/2021,15600,15600,moderna
Puerto Rico,03/01/2021,34200,34200,moderna
Rhode Island,03/01/2021,10800,10800,moderna
South Carolina,03/01/2021,48800,48800,moderna
South Dakota,03/01/2021,8300,8300,moderna
Tennessee,03/01/2021,65200,65200,moderna
Texas,03/01/2021,260400,260400,moderna
U.S. Virgin Islands,03/01/2021,1100,1100,moderna
Utah,03/01/2021,27100,27100,moderna
Vermont,03/01/2021,6500,6500,moderna
Virginia,03/01/2021,82800,82800,moderna
Washington,03/01/2021,72400,72400,moderna
West Virginia,03/01/2021,18500,18500,moderna
Wisconsin,03/01/2021,57100,57100,moderna
Wyoming,03/01/2021,5700,5700,moderna
Alabama,02/22/2021,47700,47700,moderna
Alaska,02/22/2021,0,0,moderna
American Samoa,02/22/2021,0,0,moderna
Arizona,02/22/2021,67600,67600,moderna
Arkansas,02/22/2021,28900,28900,moderna
California,02/22/2021,380300,380300,moderna
Chicago,02/22/2021,26500,26500,moderna
Colorado,02/22/2021,54100,54100,moderna
Connecticut,02/22/2021,35800,35800,moderna
Delaware,02/22/2021,9500,9500,moderna
District of Columbia,02/22/2021,7200,7200,moderna
Federal Entities,02/22/2021,163500,163500,moderna
Florida,02/22/2021,208000,208000,moderna
Georgia,02/22/2021,98600,98600,moderna
Guam,02/22/2021,0,0,moderna
Hawaii,02/22/2021,14200,14200,moderna
Idaho,02/22/2021,15800,15800,moderna
Illinois,02/22/2021,98700,98700,moderna
Indiana,02/22/2021,64100,64100,moderna
Iowa,02/22/2021,30400,30400,moderna
Kansas,02/22/2021,27800,27800,moderna
Kentucky,02/22/2021,43400,43400,moderna
Louisiana,02/22/2021,45000,45000,moderna
Maine,02/22/2021,13700,13700,moderna
Mariana Islands,02/22/2021,0,0,moderna
Marshall Islands,02/22/2021,0,0,moderna
Maryland,02/22/2021,59000,59000,moderna
Massachusetts,02/22/2021,69000,69000,moderna
Michigan,02/22/2021,98200,98200,moderna
Micronesia,02/22/2021,0,0,moderna
Minnesota,02/22/2021,53800,53800,moderna
Mississippi,02/22/2021,28700,28700,moderna
Missouri,02/22/2021,59500,59500,moderna
Montana,02/22/2021,10400,10400,moderna
Nebraska,02/22/2021,18400,18400,moderna
Nevada,02/22/2021,28500,28500,moderna
New Hampshire,02/22/2021,13700,13700,moderna
New Jersey,02/22/2021,87400,87400,moderna
New Mexico,02/22/2021,20500,20500,moderna
New York,02/22/2021,111300,111300,moderna
New York City,02/22/2021,84500,84500,moderna
North Carolina,02/22/2021,99500,99500,moderna
North Dakota,02/22/2021,7500,7500,moderna
Ohio,02/22/2021,114100,114100,moderna
Oklahoma,02/22/2021,37500,37500,moderna
Oregon,02/22/2021,40800,40800,moderna
Palau,02/22/2021,0,0,moderna
Pennsylvania,02/22/2021,112400,112400,moderna
Philadelphia,02/22/2021,15600,15600,moderna
Puerto Rico,02/22/2021,34200,34200,moderna
Rhode Island,02/22/2021,10800,10800,moderna
South Carolina,02/22/2021,48800,48800,moderna
South Dakota,02/22/2021,8300,8300,moderna
Tennessee,02/22/2021,65200,65200,moderna
Texas,02/22/2021,260400,260400,moderna
U.S. Virgin Islands,02/22/2021,1100,1100,moderna
Utah,02/22/2021,27100,27100,moderna
Vermont,02/22/2021,6500,6500,moderna
Virginia,02/22/2021,82800,82800,moderna
Washington,02/22/2021,72400,72400,moderna
West Virginia,02/22/2021,18500,18500,moderna
Wisconsin,02/22/2021,57100,57100,moderna
Wyoming,02/22/2021,5700,5700,moderna
Alabama,02/15/2021,47700,47700,moderna
Alaska,02/15/2021,0,0,moderna
American Samoa,02/15/2021,0,0,moderna
Arizona,02/15/2021,67600,67600,moderna
Arkansas,02/15/2021,28900,28900,moderna
California,02/15/2021,380300,380300,moderna
Chicago,02/15/2021,26500,26500,moderna
Colorado,02/15/2021,54100,54100,moderna
Connecticut,02/15/2021,35800,35800,moderna
Delaware,02/15/2021,9500,9500,moderna
District of Columbia,02/15/2021,7200,7200,moderna
Federal Entities,02/15/2021,163500,163500,moderna
Florida,02/15/2021,208000,208000,moderna
Georgia,02/15/2021,98600,98600,moderna
Guam,02/15/2021,0,0,moderna
Hawaii,02/15/2021,14200,14200,moderna
Idaho,02/15/2021,15800,15800,moderna
Illinois,02/15/2021,98700,98700,moderna
Indiana,02/15/2021,64100,64100,moderna
Iowa,02/15/2021,30400,30400,moderna
Kansas,02/15/2021,27800,27800,moderna
Kentucky,02/15/2021,43400,43400,moderna
Louisiana,02/15/2021,45000,45000,moderna
Maine,02/15/2021,13700,13700,moderna
Mariana Islands,02/15/2021,0,0,moderna
Marshall Islands,02/15/2021,0,0,moderna
Maryland,02/15/2021,59000,59000,moderna
Massachusetts,02/15/2021,69000,69000,moderna
Michigan,02/15/2021,98200,98200,moderna
Micronesia,02/15/2021,0,0,moderna
Minnesota,02/15/2021,53800,53800,moderna
Mississippi,02/15/2021,28700,28700,moderna
Missouri,02/15/2021,59500,59500,moderna
Montana,02/15/2021,10400,10400,moderna
Nebraska,02/15/2021,18400,18400,moderna
Nevada,02/15/2021,28500,28500,moderna
New Hampshire,02/15/2021,13700,13700,moderna
New Jersey,02/15/2021,87400,87400,moderna
New Mexico,02/15/2021,20500,20500,moderna
New York,02/15/2021,111300,111300,moderna
New York City,02/15/2021,84500,84500,moderna
North Carolina,02/15/2021,99500,99500,moderna
North Dakota,02/15/2021,7500,7500,moderna
Ohio,02/15/2021,114100,114100,moderna
Oklahoma,02/15/2021,37500,37500,moderna
Oregon,02/15/2021,40800,40800,moderna
Palau,02/15/2021,0,0,moderna
Pennsylvania,02/15/2021,112400,112400,moderna
Philadelphia,02/15/2021,15600,15600,moderna
Puerto Rico,02/15/2021,34200,34200,moderna
Rhode Island,02/15/2021,10800,10800,moderna
South Carolina,02/15/2021,48800,48800,moderna
South Dakota,02/15/2021,8300,8300,moderna
Tennessee,02/15/2021,65200,65200,moderna
Texas,02/15/2021,260400,260400,moderna
U.S. Virgin Islands,02/15/2021,1100,1100,moderna
Utah,02/15/2021,27100,27100,moderna
Vermont,02/15/2021,6500,6500,moderna
Virginia,02/15/2021,82800,82800,moderna
Washington,02/15/2021,72400,72400,moderna
West Virginia,02/15/2021,18500,18500,moderna
Wisconsin,02/15/2021,57100,57100,moderna
Wyoming,02/15/2021,5700,5700,moderna
Alabama,02/08/2021,44100,44100,moderna
Alaska,02/08/2021,0,0,moderna
American Samoa,02/08/2021,0,0,moderna
Arizona,02/08/2021,62500,62500,moderna
Arkansas,02/08/2021,26800,26800,moderna
California,02/08/2021,351900,351900,moderna
Chicago,02/08/2021,24500,24500,moderna
Colorado,02/08/2021,50000,50000,moderna
Connecticut,02/08/2021,33100,33100,moderna
Delaware,02/08/2021,8800,8800,moderna
District of Columbia,02/08/2021,6600,6600,moderna
Federal Entities,02/08/2021,481400,481400,moderna
Florida,02/08/2021,192500,192500,moderna
Georgia,02/08/2021,91300,91300,moderna
Guam,02/08/2021,0,0,moderna
Hawaii,02/08/2021,13100,13100,moderna
Idaho,02/08/2021,14700,14700,moderna
Illinois,02/08/2021,91300,91300,moderna
Indiana,02/08/2021,59300,59300,moderna
Iowa,02/08/2021,28200,28200,moderna
Kansas,02/08/2021,25700,25700,moderna
Kentucky,02/08/2021,40200,40200,moderna
Louisiana,02/08/2021,41600,41600,moderna
Maine,02/08/2021,12700,12700,moderna
Mariana Islands,02/08/2021,0,0,moderna
Marshall Islands,02/08/2021,0,0,moderna
Maryland,02/08/2021,54600,54600,moderna
Massachusetts,02/08/2021,63800,63800,moderna
Michigan,02/08/2021,90900,90900,moderna
Micronesia,02/08/2021,0,0,moderna
Minnesota,02/08/2021,49700,49700,moderna
Mississippi,02/08/2021,26600,26600,moderna
Missouri,02/08/2021,55100,55100,moderna
Montana,02/08/2021,9600,9600,moderna
Nebraska,02/08/2021,17000,17000,moderna
Nevada,02/08/2021,26400,26400,moderna
New Hampshire,02/08/2021,12700,12700,moderna
New Jersey,02/08/2021,80900,80900,moderna
New Mexico,02/08/2021,19000,19000,moderna
New York,02/08/2021,103000,103000,moderna
New York City,02/08/2021,78200,78200,moderna
North Carolina,02/08/2021,92000,92000,moderna
North Dakota,02/08/2021,6900,6900,moderna
Ohio,02/08/2021,105600,105600,moderna
Oklahoma,02/08/2021,34700,34700,moderna
Oregon,02/08/2021,37800,37800,moderna
Palau,02/08/2021,0,0,moderna
Pennsylvania,02/08/2021,104000,104000,moderna
Philadelphia,02/08/2021,14400,14400,moderna
Puerto Rico,02/08/2021,31600,31600,moderna
Rhode Island,02/08/2021,10000,10000,moderna
South Carolina,02/08/2021,45200,45200,moderna
South Dakota,02/08/2021,7700,7700,moderna
Tennessee,02/08/2021,60300,60300,moderna
Texas,02/08/2021,241000,241000,moderna
U.S. Virgin Islands,02/08/2021,1000,1000,moderna
Utah,02/08/2021,25100,25100,moderna
Vermont,02/08/2021,6000,6000,moderna
Virginia,02/08/2021,76600,76600,moderna
Washington,02/08/2021,67000,67000,moderna
West Virginia,02/08/2021,17100,17100,moderna
Wisconsin,02/08/2021,52900,52900,moderna
Wyoming,02/08/2021,5300,5300,moderna
Alabama,02/01/2021,40400,40400,moderna
Alaska,02/01/2021,32300,32300,moderna
American Samoa,02/01/2021,3200,0,moderna
Arizona,02/01/2021,57200,57200,moderna
Arkansas,02/01/2021,24500,24500,moderna
California,02/01/2021,322000,322000,moderna
Chicago,02/01/2021,22400,22400,moderna
Colorado,02/01/2021,45800,45800,moderna
Connecticut,02/01/2021,30300,30300,moderna
Delaware,02/01/2021,8000,8000,moderna
District of Columbia,02/01/2021,6100,6100,moderna
Federal Entities,02/01/2021,151180,151800,moderna
Florida,02/01/2021,176100,176100,moderna
Georgia,02/01/2021,83500,83500,moderna
Guam,02/01/2021,9200,0,moderna
Hawaii,02/01/2021,12000,12000,moderna
Idaho,02/01/2021,13400,13400,moderna
Illinois,02/01/2021,83600,83600,moderna
Indiana,02/01/2021,54300,54300,moderna
Iowa,02/01/2021,25800,25800,moderna
Kansas,02/01/2021,23500,23500,moderna
Kentucky,02/01/2021,36700,36700,moderna
Louisiana,02/01/2021,38100,38100,moderna
Maine,02/01/2021,11600,11600,moderna
Mariana Islands,02/01/2021,3200,0,moderna
Marshall Islands,02/01/2021,6600,0,moderna
Maryland,02/01/2021,49900,49900,moderna
Massachusetts,02/01/2021,58400,58400,moderna
Michigan,02/01/2021,83100,83100,moderna
Micronesia,02/01/2021,9400,0,moderna
Minnesota,02/01/2021,45500,45500,moderna
Mississippi,02/01/2021,24300,24300,moderna
Missouri,02/01/2021,50400,50400,moderna
Montana,02/01/2021,8800,8800,moderna
Nebraska,02/01/2021,15500,15500,moderna
Nevada,02/01/2021,24100,24100,moderna
New Hampshire,02/01/2021,11600,11600,moderna
New Jersey,02/01/2021,74000,74000,moderna
New Mexico,02/01/2021,17300,17300,moderna
New York,02/01/2021,94200,94200,moderna
New York City,02/01/2021,71500,71500,moderna
North Carolina,02/01/2021,84200,84200,moderna
North Dakota,02/01/2021,6400,6400,moderna
Ohio,02/01/2021,96600,96600,moderna
Oklahoma,02/01/2021,31700,31700,moderna
Oregon,02/01/2021,34600,34600,moderna
Palau,02/01/2021,2800,0,moderna
Pennsylvania,02/01/2021,95200,95200,moderna
Philadelphia,02/01/2021,13200,13200,moderna
Puerto Rico,02/01/2021,28900,28900,moderna
Rhode Island,02/01/2021,9100,9100,moderna
South Carolina,02/01/2021,41400,41400,moderna
South Dakota,02/01/2021,7000,7000,moderna
Tennessee,02/01/2021,55200,55200,moderna
Texas,02/01/2021,220500,220500,moderna
U.S. Virgin Islands,02/01/2021,900,900,moderna
Utah,02/01/2021,22900,22900,moderna
Vermont,02/01/2021,5500,5500,moderna
Virginia,02/01/2021,70100,70100,moderna
Washington,02/01/2021,61300,61300,moderna
West Virginia,02/01/2021,15600,15600,moderna
Wisconsin,02/01/2021,48300,48300,moderna
Wyoming,02/01/2021,4800,4800,moderna
Alabama,01/25/2021,30600,30600,moderna
Alaska,01/25/2021,0,0,moderna
American Samoa,01/25/2021,0,0,moderna
Arizona,01/25/2021,43400,43400,moderna
Arkansas,01/25/2021,18600,18600,moderna
California,01/25/2021,244000,244000,moderna
Chicago,01/25/2021,17000,17000,moderna
Colorado,01/25/2021,34700,34700,moderna
Connecticut,01/25/2021,23000,23000,moderna
Delaware,01/25/2021,6100,6100,moderna
District of Columbia,01/25/2021,4600,4600,moderna
Federal Entities,01/25/2021,105300,105300,moderna
Florida,01/25/2021,133500,133500,moderna
Georgia,01/25/2021,63300,63300,moderna
Guam,01/25/2021,0,0,moderna
Hawaii,01/25/2021,9100,9100,moderna
Idaho,01/25/2021,10200,10200,moderna
Illinois,01/25/2021,63300,63300,moderna
Indiana,01/25/2021,41100,41100,moderna
Iowa,01/25/2021,19500,19500,moderna
Kansas,01/25/2021,17800,17800,moderna
Kentucky,01/25/2021,27900,27900,moderna
Louisiana,01/25/2021,28900,28900,moderna
Maine,01/25/2021,8800,8800,moderna
Mariana Islands,01/25/2021,0,0,moderna
Marshall Islands,01/25/2021,0,0,moderna
Maryland,01/25/2021,37800,37800,moderna
Massachusetts,01/25/2021,44300,44300,moderna
Michigan,01/25/2021,63000,63000,moderna
Micronesia,01/25/2021,0,0,moderna
Minnesota,01/25/2021,34500,34500,moderna
Mississippi,01/25/2021,18500,18500,moderna
Missouri,01/25/2021,38200,38200,moderna
Montana,01/25/2021,6700,6700,moderna
Nebraska,01/25/2021,11800,11800,moderna
Nevada,01/25/2021,18300,18300,moderna
New Hampshire,01/25/2021,8800,8800,moderna
New Jersey,01/25/2021,56100,56100,moderna
New Mexico,01/25/2021,13200,13200,moderna
New York,01/25/2021,71400,71400,moderna
New York City,01/25/2021,54200,54200,moderna
North Carolina,01/25/2021,63800,63800,moderna
North Dakota,01/25/2021,4800,4800,moderna
Ohio,01/25/2021,73200,73200,moderna
Oklahoma,01/25/2021,24100,24100,moderna
Oregon,01/25/2021,26200,26200,moderna
Palau,01/25/2021,0,0,moderna
Pennsylvania,01/25/2021,72100,72100,moderna
Philadelphia,01/25/2021,10000,10000,moderna
Puerto Rico,01/25/2021,21900,21900,moderna
Rhode Island,01/25/2021,6900,6900,moderna
South Carolina,01/25/2021,31400,31400,moderna
South Dakota,01/25/2021,5300,5300,moderna
Tennessee,01/25/2021,41800,41800,moderna
Texas,01/25/2021,167100,167100,moderna
U.S. Virgin Islands,01/25/2021,700,700,moderna
Utah,01/25/2021,17400,17400,moderna
Vermont,01/25/2021,4200,4200,moderna
Virginia,01/25/2021,53100,53100,moderna
Washington,01/25/2021,46500,46500,moderna
West Virginia,01/25/2021,11900,11900,moderna
Wisconsin,01/25/2021,36700,36700,moderna
Wyoming,01/25/2021,3700,3700,moderna
Alabama,01/18/2021,30600,30600,moderna
Alaska,01/18/2021,0,0,moderna
American Samoa,01/18/2021,0,0,moderna
Arizona,01/18/2021,43400,43400,moderna
Arkansas,01/18/2021,18600,18600,moderna
California,01/18/2021,244000,244000,moderna
Chicago,01/18/2021,17000,17000,moderna
Colorado,01/18/2021,34700,34700,moderna
Connecticut,01/18/2021,23000,23000,moderna
Delaware,01/18/2021,6100,6100,moderna
District of Columbia,01/18/2021,4600,4600,moderna
Federal Entities,01/18/2021,105000,105000,moderna
Florida,01/18/2021,133500,133500,moderna
Georgia,01/18/2021,63300,63300,moderna
Guam,01/18/2021,0,0,moderna
Hawaii,01/18/2021,9100,9100,moderna
Idaho,01/18/2021,10200,10200,moderna
Illinois,01/18/2021,63300,63300,moderna
Indiana,01/18/2021,41100,41100,moderna
Iowa,01/18/2021,19500,19500,moderna
Kansas,01/18/2021,17800,17800,moderna
Kentucky,01/18/2021,27900,27900,moderna
Louisiana,01/18/2021,28900,28900,moderna
Maine,01/18/2021,8800,8800,moderna
Mariana Islands,01/18/2021,0,0,moderna
Marshall Islands,01/18/2021,0,0,moderna
Maryland,01/18/2021,37800,37800,moderna
Massachusetts,01/18/2021,44300,44300,moderna
Michigan,01/18/2021,63000,63000,moderna
Micronesia,01/18/2021,0,0,moderna
Minnesota,01/18/2021,34500,34500,moderna
Mississippi,01/18/2021,18500,18500,moderna
Missouri,01/18/2021,38200,38200,moderna
Montana,01/18/2021,6700,6700,moderna
Nebraska,01/18/2021,11800,11800,moderna
Nevada,01/18/2021,18300,18300,moderna
New Hampshire,01/18/2021,8800,8800,moderna
New Jersey,01/18/2021,56100,56100,moderna
New Mexico,01/18/2021,13200,13200,moderna
New York,01/18/2021,71400,71400,moderna
New York City,01/18/2021,54200,54200,moderna
North Carolina,01/18/2021,63800,63800,moderna
North Dakota,01/18/2021,4800,4800,moderna
Ohio,01/18/2021,73200,73200,moderna
Oklahoma,01/18/2021,24100,24100,moderna
Oregon,01/18/2021,26200,26200,moderna
Palau,01/18/2021,0,0,moderna
Pennsylvania,01/18/2021,72100,72100,moderna
Philadelphia,01/18/2021,10000,10000,moderna
Puerto Rico,01/18/2021,21900,21900,moderna
Rhode Island,01/18/2021,6900,6900,moderna
South Carolina,01/18/2021,31400,31400,moderna
South Dakota,01/18/2021,5300,5300,moderna
Tennessee,01/18/2021,41800,41800,moderna
Texas,01/18/2021,167100,167100,moderna
U.S. Virgin Islands,01/18/2021,700,700,moderna
Utah,01/18/2021,17400,17400,moderna
Vermont,01/18/2021,4200,4200,moderna
Virginia,01/18/2021,53100,53100,moderna
Washington,01/18/2021,46500,46500,moderna
West Virginia,01/18/2021,11900,11900,moderna
Wisconsin,01/18/2021,36700,36700,moderna
Wyoming,01/18/2021,3700,3700,moderna
Alabama,01/11/2021,29100,29100,moderna
Alaska,01/11/2021,0,0,moderna
American Samoa,01/11/2021,0,0,moderna
Arizona,01/11/2021,41300,41300,moderna
Arkansas,01/11/2021,17700,17700,moderna
California,01/11/2021,232300,232300,moderna
Chicago,01/11/2021,16200,16200,moderna
Colorado,01/11/2021,33000,33000,moderna
Connecticut,01/11/2021,21900,21900,moderna
Delaware,01/11/2021,5800,5800,moderna
District of Columbia,01/11/2021,4400,4400,moderna
Federal Entities,01/11/2021,99900,99900,moderna
Florida,01/11/2021,127100,127100,moderna
Georgia,01/11/2021,60200,60200,moderna
Guam,01/11/2021,0,0,moderna
Hawaii,01/11/2021,8700,8700,moderna
Idaho,01/11/2021,9700,9700,moderna
Illinois,01/11/2021,60300,60300,moderna
Indiana,01/11/2021,39200,39200,moderna
Iowa,01/11/2021,18600,18600,moderna
Kansas,01/11/2021,17000,17000,moderna
Kentucky,01/11/2021,26500,26500,moderna
Louisiana,01/11/2021,27500,27500,moderna
Maine,01/11/2021,8400,8400,moderna
Mariana Islands,01/11/2021,0,0,moderna
Marshall Islands,01/11/2021,0,0,moderna
Maryland,01/11/2021,36000,36000,moderna
Massachusetts,01/11/2021,42100,42100,moderna
Michigan,01/11/2021,60000,60000,moderna
Micronesia,01/11/2021,0,0,moderna
Minnesota,01/11/2021,32900,32900,moderna
Mississippi,01/11/2021,17600,17600,moderna
Missouri,01/11/2021,36400,36400,moderna
Montana,01/11/2021,6400,6400,moderna
Nebraska,01/11/2021,11200,11200,moderna
Nevada,01/11/2021,17400,17400,moderna
New Hampshire,01/11/2021,8400,8400,moderna
New Jersey,01/11/2021,53400,53400,moderna
New Mexico,01/11/2021,12500,12500,moderna
New York,01/11/2021,68000,68000,moderna
New York City,01/11/2021,51600,51600,moderna
North Carolina,01/11/2021,60800,60800,moderna
North Dakota,01/11/2021,4600,4600,moderna
Ohio,01/11/2021,69700,69700,moderna
Oklahoma,01/11/2021,22900,22900,moderna
Oregon,01/11/2021,25000,25000,moderna
Palau,01/11/2021,0,0,moderna
Pennsylvania,01/11/2021,68700,68700,moderna
Philadelphia,01/11/2021,9500,9500,moderna
Puerto Rico,01/11/2021,20900,20900,moderna
Rhode Island,01/11/2021,6600,6600,moderna
South Carolina,01/11/2021,29900,29900,moderna
South Dakota,01/11/2021,5100,5100,moderna
Tennessee,01/11/2021,39800,39800,moderna
Texas,01/11/2021,159100,159100,moderna
U.S. Virgin Islands,01/11/2021,700,700,moderna
Utah,01/11/2021,16600,16600,moderna
Vermont,01/11/2021,4000,4000,moderna
Virginia,01/11/2021,50600,50600,moderna
Washington,01/11/2021,44300,44300,moderna
West Virginia,01/11/2021,11300,11300,moderna
Wisconsin,01/11/2021,34900,34900,moderna
Wyoming,01/11/2021,3500,3500,moderna
Alabama,01/04/2021,29000,29000,moderna
Alaska,01/04/2021,25600,25600,moderna
American Samoa,01/04/2021,2400,0,moderna
Arizona,01/04/2021,41100,41100,moderna
Arkansas,01/04/2021,17600,17600,moderna
California,01/04/2021,231400,231400,moderna
Chicago,01/04/2021,16100,16100,moderna
Colorado,01/04/2021,32900,32900,moderna
Connecticut,01/04/2021,21800,21800,moderna
Delaware,01/04/2021,5800,5800,moderna
District of Columbia,01/04/2021,4400,4400,moderna
Federal Entities,01/04/2021,108400,99600,moderna
Florida,01/04/2021,126600,126600,moderna
Georgia,01/04/2021,60000,60000,moderna
Guam,01/04/2021,7200,0,moderna
Hawaii,01/04/2021,8600,8600,moderna
Idaho,01/04/2021,9700,9700,moderna
Illinois,01/04/2021,60100,60100,moderna
Indiana,01/04/2021,39000,39000,moderna
Iowa,01/04/2021,18500,18500,moderna
Kansas,01/04/2021,16900,16900,moderna
Kentucky,01/04/2021,26400,26400,moderna
Louisiana,01/04/2021,27400,27400,moderna
Maine,01/04/2021,8300,8300,moderna
Mariana Islands,01/04/2021,2400,0,moderna
Marshall Islands,01/04/2021,6400,0,moderna
Maryland,01/04/2021,35900,35900,moderna
Massachusetts,01/04/2021,42000,42000,moderna
Michigan,01/04/2021,59800,59800,moderna
Micronesia,01/04/2021,9600,0,moderna
Minnesota,01/04/2021,32700,32700,moderna
Mississippi,01/04/2021,17500,17500,moderna
Missouri,01/04/2021,36200,36200,moderna
Montana,01/04/2021,6300,6300,moderna
Nebraska,01/04/2021,11200,11200,moderna
Nevada,01/04/2021,17300,17300,moderna
New Hampshire,01/04/2021,8400,8400,moderna
New Jersey,01/04/2021,53200,53200,moderna
New Mexico,01/04/2021,12500,12500,moderna
New York,01/04/2021,67700,67700,moderna
New York City,01/04/2021,51400,51400,moderna
North Carolina,01/04/2021,60500,60500,moderna
North Dakota,01/04/2021,4600,4600,moderna
Ohio,01/04/2021,69500,69500,moderna
Oklahoma,01/04/2021,22800,22800,moderna
Oregon,01/04/2021,24800,24800,moderna
Palau,01/04/2021,3200,0,moderna
Pennsylvania,01/04/2021,68400,68400,moderna
Philadelphia,01/04/2021,9500,9500,moderna
Puerto Rico,01/04/2021,20800,20800,moderna
Rhode Island,01/04/2021,6600,6600,moderna
South Carolina,01/04/2021,29700,29700,moderna
South Dakota,01/04/2021,5100,5100,moderna
Tennessee,01/04/2021,39700,39700,moderna
Texas,01/04/2021,158500,158500,moderna
U.S. Virgin Islands,01/04/2021,700,700,moderna
Utah,01/04/2021,16500,16500,moderna
Vermont,01/04/2021,3900,3900,moderna
Virginia,01/04/2021,50400,50400,moderna
Washington,01/04/2021,44100,44100,moderna
West Virginia,01/04/2021,11200,11200,moderna
Wisconsin,01/04/2021,34700,34700,moderna
Wyoming,01/04/2021,3500,3500,moderna
Alabama,12/28/2020,29100,29100,moderna
Alaska,12/28/2020,0,0,moderna
American Samoa,12/28/2020,0,0,moderna
Arizona,12/28/2020,41300,41300,moderna
Arkansas,12/28/2020,17700,17700,moderna
California,12/28/2020,232300,232300,moderna
Chicago,12/28/2020,16200,16200,moderna
Colorado,12/28/2020,33000,33000,moderna
Connecticut,12/28/2020,21900,21900,moderna
Delaware,12/28/2020,5800,5800,moderna
District of Columbia,12/28/2020,4400,4400,moderna
Federal Entities,12/28/2020,100000,100000,moderna
Florida,12/28/2020,127100,127100,moderna
Georgia,12/28/2020,60200,60200,moderna
Guam,12/28/2020,0,0,moderna
Hawaii,12/28/2020,8700,8700,moderna
Idaho,12/28/2020,9700,9700,moderna
Illinois,12/28/2020,60300,60300,moderna
Indiana,12/28/2020,39200,39200,moderna
Iowa,12/28/2020,18600,18600,moderna
Kansas,12/28/2020,17000,17000,moderna
Kentucky,12/28/2020,26500,26500,moderna
Louisiana,12/28/2020,27500,27500,moderna
Maine,12/28/2020,8400,8400,moderna
Mariana Islands,12/28/2020,0,0,moderna
Marshall Islands,12/28/2020,0,0,moderna
Maryland,12/28/2020,36000,36000,moderna
Massachusetts,12/28/2020,42100,42100,moderna
Michigan,12/28/2020,60000,60000,moderna
Micronesia,12/28/2020,0,0,moderna
Minnesota,12/28/2020,32900,32900,moderna
Mississippi,12/28/2020,17600,17600,moderna
Missouri,12/28/2020,36400,36400,moderna
Montana,12/28/2020,6400,6400,moderna
Nebraska,12/28/2020,11200,11200,moderna
Nevada,12/28/2020,17400,17400,moderna
New Hampshire,12/28/2020,8400,8400,moderna
New Jersey,12/28/2020,53400,53400,moderna
New Mexico,12/28/2020,12500,12500,moderna
New York,12/28/2020,68000,68000,moderna
New York City,12/28/2020,51600,51600,moderna
North Carolina,12/28/2020,60800,60800,moderna
North Dakota,12/28/2020,4600,4600,moderna
Ohio,12/28/2020,69700,69700,moderna
Oklahoma,12/28/2020,22900,22900,moderna
